,title,address,unit_type,price,bedrooms,bathrooms,apartment_lat,apartment_lon,hydro_included,heat_included,water_included,laundry_included,backyard_included,parking_included,gym_included,sqft,furnished,air_conditioning,walk_score,transit_score,bike_score,img_1,"img_2""",img_3
0,"
                            Airy Cozy 2 Bedroom Apartment Available for rent in the Beaches
                        ","234 Coxwell Ave, Toronto, ON M4L 3B2, Canada",Apartment,2200.0,2,1,43.6722174,-79.3192239,0.0,0.0,1.0,1.0,1.0,1,0.0,"1,000",0.0,1.0,86,71,79,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/SvQAAOSwJmRfCzh~/$_27.JPG,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/hhsAAOSwluxfCziC/$_2.JPG,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/blQAAOSwoU1fCziW/$_2.JPG
1,"
                            2 bed 2 bath 2 parking in home 10min walk to subway 401 and 427
                        ","M9B3L5, Canada",Apartment,1990.0,2,2,43.6455672,-79.5366339,1.0,1.0,1.0,1.0,1.0,2,0.0,900,0.0,1.0,70,93,55,https://i.ebayimg.com/00/s/MTAwNlgxNjAw/z/TBoAAOSw4n1fCzIA/$_27.JPG,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/FoQAAOSw6ElfCzIC/$_2.JPG,https://i.ebayimg.com/00/s/ODIwWDE2MDA=/z/9HMAAOSwpDNfCzIE/$_2.JPG
2,"
                            Beautiful 2 Bedroom Unit in the Heart of High Park Ave
                        ","15  High Park Ave, Bloor St W and High Park Ave M6P2R5  ON, Canada",Apartment,2600.0,2,1,43.6538467,-79.4668176,1.0,1.0,1.0,1.0,1.0,1,0.0,"1,000",0.0,1.0,69,89,53,https://i.ebayimg.com/00/s/ODAwWDM4OQ==/z/p5UAAOSwcRNfCzbw/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDM4OA==/z/4QcAAOSwwvNfCzb0/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDM4OQ==/z/ux4AAOSwoFtfCzb3/$_2.JPG
3,"
                            1 Bedroom Apartment - Junction Area
                        ","17 St Johns Rd, Toronto, ON M6P 1T7, Canada",Apartment,1800.0,1,1,43.6652578,-79.47392599999999,0.0,1.0,1.0,1.0,1.0,0,0.0,800,0.0,1.0,86,71,57,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/qZEAAOSwKZhfCzXm/$_27.JPG,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/-zQAAOSwqsZfCzX0/$_2.JPG,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/1ZIAAOSwVmFfCzYD/$_2.JPG
4,"
                            Updated Roncesvalles Apt, Available Now!
                        ","398 Sunnyside Avenue, M6R2S1, Toronto, ON",Basement,1100.0,Bachelor/Studio,1,43.6508888,-79.4536277,0.0,1.0,1.0,1.0,0.0,0,0.0,500,0.0,0.0,88,97,59,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/j9oAAOSwtK5fANQm/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/WTAAAOSwEM1fANQg/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/sXcAAOSwpVdfANQj/$_2.JPG
5,"
                            3 Bedroom Apartment - Little Italy
                        ","464 Euclid, Toronto M6H2S9 ON",Apartment,3000.0,3,1,43.6579108,-79.41256779999999,1.0,1.0,1.0,1.0,1.0,0,0.0,"1,500",0.0,1.0,88,89,96,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/~tQAAOSwb3FfCzXQ/$_27.JPG,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/4~QAAOSwCfRfCzXR/$_2.JPG,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/BC8AAOSw2P9fCzXT/$_2.JPG
6,"
                            1 Bedroom Apartment for Rent at 2885 St. Clair Avenue East
                        ","2885 St Clair Ave E, East York, ON M4B 1N4, Canada",Apartment,1400.0,1,1,43.707505,-79.30274039999999,0.0,1.0,1.0,0.0,0.0,0,0.0,650,0.0,0.0,62,64,60,https://i.ebayimg.com/00/s/ODAwWDUzMw==/z/4-4AAOSwAlVfCzR7/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDUzMw==/z/RsUAAOSwD~tfCzR~/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDUzMw==/z/M5YAAOSwUkFfCzRw/$_2.JPG
7,"
                            Long Branch, Etobicoke-2 bdrm unit with private yard and garage
                        ","3372 Lake Shore Blvd W, Etobicoke, ON M8W 1M9, Canada",House,2400.0,2,1,43.5960765,-79.5268187,0.0,1.0,1.0,1.0,1.0,1,0.0,800,0.0,1.0,69,66,82,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/2rMAAOSwj6Be915h/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/Lw8AAOSwJVle914L/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/hSYAAOSwdzde914U/$_2.JPG
8,"
                            Long Branch, Etobicoke- 2 bdrm apartment with private terrace
                        ","3372 Lake Shore Blvd W, Etobicoke, ON M8W 1M9, Canada",House,2300.0,2,1,43.5960765,-79.5268187,0.0,1.0,1.0,1.0,1.0,1,0.0,700,0.0,1.0,69,66,82,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/WKkAAOSwWT9e-Ll~/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/5zgAAOSwaYle-LmD/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/UN0AAOSwQpte-LmH/$_2.JPG
9,"
                            Bright Annex Furnished Bachelor Aug 1
                        ","426 Markham St, Toronto, ON M6G 2L2, Canada",Apartment,1495.0,Bachelor/Studio,1,43.6600881,-79.4107245,1.0,1.0,1.0,1.0,1.0,0,0.0,350,1.0,0.0,88,96,10,https://i.ebayimg.com/00/s/MzIwWDI0MA==/z/5K4AAOSwjipfCy32/$_27.JPG,https://i.ebayimg.com/00/s/MzIwWDI0MA==/z/spUAAOSwUftfCy4s/$_2.JPG,https://i.ebayimg.com/00/s/MzIwWDI0MA==/z/5VUAAOSwykdfCy5b/$_2.JPG
