,title,address,unit_type,price,bedrooms,bathrooms,apartment_lat,apartment_lon,hydro_included,heat_included,water_included,laundry_included,backyard_included,parking_included,gym_included,sqft,furnished,air_conditioning,walk_score,transit_score,bike_score,img_1,"img_2""",img_3
29,"
                            Sublease an appt
                        ","M4X1J9, Canada",Apartment,1340.0,1,1,43.6709654,-79.3727785,1.0,1.0,1.0,1.0,1.0,0,0.0,850,1.0,1.0,81,90,72,,,
30,"
                            FURNISHED 2 BED BASEMENT Markham & Sheppard Located on Sunburst
                        ","Sunburst Square, Scarborough, ON M1B 1R3, Canada",Apartment,1200.0,2,1,43.7964226,-79.23344809999999,1.0,1.0,1.0,1.0,1.0,1,0.0,700,1.0,1.0,63,68,37,,,
31,"
                            1422 Bayview Avenue #B
                        ","1422 Bayview Ave, Toronto, ON M4G 3A7, Canada",Apartment,2695.0,2,2,43.7016623,-79.37392890000001,0.0,0.0,0.0,1.0,1.0,0,0.0,10,0.0,1.0,81,61,70,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/nCYAAOSweade-3DG/$_27.JPG,https://i.ebayimg.com/00/s/NDI0WDY0MA==/z/I0cAAOSwaspe-3DL/$_2.JPG,https://i.ebayimg.com/00/s/NDI0WDY0MA==/z/8y0AAOSwg7Fe-3DV/$_2.JPG
32,"
                            Renovated bachelor unit, Church and Wellesley
                        ","54/56 Maitland Street, Toronto, ON, M4Y 1C9",Apartment,1500.0,Bachelor/Studio,1,43.64856,-79.38533,0.0,1.0,1.0,1.0,0.0,0,0.0,260,0.0,0.0,99,10,94,https://i.ebayimg.com/00/s/MTA2N1gxNjAw/z/EGsAAOSw40Ve7IBK/$_27.JPG,https://i.ebayimg.com/00/s/MTA2N1gxNjAw/z/KXIAAOSw-2xe7IBJ/$_2.JPG,https://i.ebayimg.com/00/s/MTA2N1gxNjAw/z/RvQAAOSwVSte7IBI/$_2.JPG
33,"
                            October 1st - Bachelor at  Bloor & Dundas next to UP station
                        ","1446 Bloor St W, Toronto, ON M6P 3L5, Canada",Apartment,1300.0,1,1,43.6572851,-79.448666,1.0,1.0,1.0,0.0,0.0,0,0.0,300,1.0,1.0,92,98,94,https://i.ebayimg.com/00/s/NTMyWDgwMA==/z/uo8AAOSwh1xe~2zb/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDUzOA==/z/S0YAAOSwbdFe~2y1/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDU3Ng==/z/F8YAAOSwgeFe~2zP/$_2.JPG
34,"
                            2B/2ba basement apartment downtown Toronto all included
                        ",", Toronto  M6J2V6  ON, Canada",Basement,2000.0,2,2,43.6477632,-79.41640799999999,1.0,1.0,1.0,1.0,1.0,0,0.0,850,0.0,1.0,83,88,87,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/wz8AAOSwFlpe~4cG/$_27.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/-0gAAOSwBQVe~4cD/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/a9YAAOSwkfle~4b~/$_2.JPG
35,"
                            3 bedrooms apt, college and McCaul
                        ","McCaul St, Toronto, ON M5T, Canada",Apartment,2300.0,3,1,43.655304,-79.39185,1.0,1.0,1.0,1.0,0.0,0,0.0,700,0.0,1.0,98,98,74,https://i.ebayimg.com/00/s/ODAwWDM2OQ==/z/oboAAOSwwE5fBTIs/$_27.PNG,https://i.ebayimg.com/00/s/ODAwWDM2OQ==/z/lkEAAOSwSTFfBTIt/$_2.PNG,https://i.ebayimg.com/00/s/ODAwWDM2OA==/z/6P4AAOSwkzJfBTIt/$_2.PNG
36,"
                            Brand new 1 bedroom, 1 bathroom luxury apartment | $500 bonus!!
                        ","M4M 2A5, Canada",Apartment,1950.0,1,1,43.65748689999999,-79.352364,0.0,1.0,1.0,1.0,1.0,0,1.0,550,0.0,1.0,78,88,99,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/f5AAAOSw6JJe84tF/$_27.JPG,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/CAcAAOSwtzle84s8/$_2.JPG,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/rK8AAOSweoZe84s-/$_2.JPG
0,"
                            Beautiful Sun Filled 2 bedroom MIDTOWN WEST
                        ","2396 Dufferin St, York, ON M6E 3S8, Canada",Apartment,2200.0,2,1,43.6964699,-79.4509776,0.0,1.0,1.0,1.0,1.0,0,0.0,"1,000",0.0,0.0,81,78,78,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/mY8AAOSwaw9e2Rf9/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/xJIAAOSwGdJe2Rg-/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/NA4AAOSwFdRe2RhD/$_2.JPG
1,"
                            Keele and Eglinton Bachelor Apartment - Available July 1
                        ","3 Greentree, M6M 2A6, Keele and Eglinton, ON",Apartment,1250.0,1,1,43.6924226,-79.478518,1.0,1.0,1.0,1.0,0.0,0,0.0,500,0.0,0.0,44,69,46,,,
