,title,ad_url,address,unit_type,price,bedrooms,bathrooms,apartment_lat,apartment_lon,hydro_included,heat_included,water_included,laundry_included,backyard_included,parking_included,gym_included,sqft,furnished,air_conditioning,walk_score,transit_score,bike_score,img_1,"img_2""",img_3
10,"
                            $2200 /2br: Bright & Spacious Apartment on Bathurst/St.Clair W
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2200-2br:-bright-spacious-apartment-on-bathurst-st-clair-w/1512991840?null&siteLocale=en_CA,"1384 Bathurst St, Toronto, ON M5R 3J1, Canada",Apartment,2200.0,2,1,43.6805461,-79.41757319999999,1.0,1.0,1.0,1.0,0.0,0,0.0,1000,0.0,0.0,85,86,81,https://i.ebayimg.com/00/s/NDQxWDY2NQ==/z/~hAAAOSw8xRfE564/$_27.JPG,https://i.ebayimg.com/00/s/NjQwWDQ4MA==/z/JxQAAOSwokBfE58j/$_2.JPG,https://i.ebayimg.com/00/s/NjQwWDQ4MA==/z/T~IAAOSwoQZfE58p/$_2.JPG
11,"
                            Newly renovated apartment, steps to subway, shopping plaza.
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/newly-renovated-apartment-steps-to-subway-shopping-plaza/1512991383?null&siteLocale=en_CA,"61 Hallam St,, m6h1w5, Toronto, ON",Apartment,1770.0,1.5,1,43.6676791,-79.4289385,1.0,1.0,1.0,1.0,0.0,0,0.0,600,0.0,1.0,81,82,62,,,
12,"
                            $2200 /2br: Bright & Spacious Apartment on Bathurst/St.Clair W
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2200-2br:-bright-spacious-apartment-on-bathurst-st-clair-w/1512991005?null&siteLocale=en_CA,"1384 Bathurst St, Toronto, ON M5R 3J1, Canada",Apartment,2200.0,2,1,43.6805461,-79.41757319999999,1.0,1.0,1.0,1.0,0.0,0,0.0,1000,0.0,0.0,85,86,81,https://i.ebayimg.com/00/s/NDQxWDY2NQ==/z/gu0AAOSwFHFfE51P/$_27.JPG,https://i.ebayimg.com/00/s/NjQwWDQ4MA==/z/EvcAAOSwzvJfE522/$_2.JPG,https://i.ebayimg.com/00/s/NjQwWDQ4MA==/z/so0AAOSwo-VfE52W/$_2.JPG
13,"
                            Available for Rent - Basement Bachelor Apartment - Greektown
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/available-for-rent-basement-bachelor-apartment-greektown/1512990341?null&siteLocale=en_CA,"Eaton Ave, Toronto, ON M4J 2Z5, Canada",Apartment,1300.0,1,1,43.6813007,-79.3438191,1.0,1.0,1.0,1.0,0.0,0,0.0,500,1.0,0.0,91,88,79,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/zVAAAOSwMglfE5wH/$_27.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/hl4AAOSw7mRfE5v-/$_2.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/Qo8AAOSwnGFfE5wB/$_2.JPG
0,"
                            One Bedroom Apartment at Pape and Danforth ave
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/one-bedroom-apartment-at-pape-and-danforth-ave/1512988020?null&siteLocale=en_CA,"806 Pape Ave, Toronto, ON M4K 3S7, Canada",Apartment,1300.0,1,1,43.682156,-79.34634,0.0,1.0,1.0,0.0,0.0,0,0.0,750,0.0,0.0,91,92,79,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/4JQAAOSwwDBfE5t9/$_27.PNG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/bxcAAOSwvBRfE5t-/$_2.PNG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/ay8AAOSwSvhfE5uA/$_2.PNG
1,"
                            NEW BACHELOR LARGE LIVING/BDRM, KIT, DISHWASHER, LAUNDRY, YARD
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/new-bachelor-large-living-bdrm-kit-dishwasher-laundry-yard/1512987709?null&siteLocale=en_CA,"359 Davenport Rd, Toronto, ON M5R 1K5, Canada",Apartment,1350.0,1,1,43.6752476,-79.4022353,1.0,1.0,1.0,1.0,1.0,0,0.0,500,0.0,0.0,91,92,97,https://i.ebayimg.com/00/s/NTk4WDgwMA==/z/RXcAAOSwGuJfE5ex/$_27.JPG,https://i.ebayimg.com/00/s/NTk4WDgwMA==/z/k24AAOSwU59fE5e0/$_2.JPG,https://i.ebayimg.com/00/s/NTk4WDgwMA==/z/MEoAAOSwPSBfE5e4/$_2.JPG
2,"
                            1 BEDROOM TOP FLOOR, LARGE LIVING ROOM, 3 CLOSETS, LAUNDRY, PARK
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-top-floor-large-living-room-3-closets-laundry-park/1512987480?null&siteLocale=en_CA,"10 Mt Royal Ave, Toronto, ON M6H 2S3, Canada",Apartment,1720.0,1,1,43.6749959,-79.43300169999999,1.0,1.0,1.0,1.0,0.0,0,0.0,600,0.0,0.0,60,78,62,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/TzIAAOSwvgVfE5cQ/$_27.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/jeMAAOSwagxfE5cT/$_2.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/v9oAAOSw3dVfE5cX/$_2.JPG
3,"
                            LITTLE ITALY 2 BDRM BSMT - LARGE OPEN LIV/DIN/KIT, DISHWASHER, L
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/little-italy-2-bdrm-bsmt-large-open-liv-din-kit-dishwasher-l/1512986983?null&siteLocale=en_CA,"482 Crawford St, Toronto, ON M6G 3J8, Canada",Apartment,1600.0,2,1,43.6572103,-79.42006429999999,1.0,1.0,1.0,1.0,0.0,0,0.0,800,0.0,0.0,69,85,10,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/PaUAAOSwRIRfE5Yu/$_27.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/UwcAAOSwdepfE5Yw/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/Wp4AAOSwyJFfE5Yz/$_2.JPG
4,"
                            $2,150 All Inclusive, move in Sept 1st, 2 beds apartmnt,Pape sbw
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-150-all-inclusive-move-in-sept-1st-2-beds-apartmnt-pape-sbw/1512986918?null&siteLocale=en_CA,"M4Y 1T1, Canada",Apartment,2150.0,2,1,43.6691213,-79.38474339999999,1.0,1.0,1.0,1.0,0.0,0,0.0,650,0.0,1.0,98,91,92,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/N9IAAOSwfD9fE5bT/$_27.JPG,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/nqAAAOSwFKtfE5bU/$_2.JPG,https://i.ebayimg.com/00/s/MTIwMFg5MDA=/z/EfcAAOSwUfhfE5bW/$_2.JPG
5,"
                            LARGE OPEN CONCEPT LOWER UNIT - SEPTEMBER 1ST. LIVING ROOM / DIN
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/large-open-concept-lower-unit-september-1st-living-room-din/1512986550?null&siteLocale=en_CA,"378 Roxton Rd, Toronto, ON M6G 3R2, Canada",Apartment,2325.0,3,1,43.6579571,-79.4229828,1.0,1.0,1.0,1.0,1.0,0,0.0,800,0.0,1.0,86,86,10,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/~kkAAOSwJF5fE5V4/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/8lAAAOSwJ7hfE5V7/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/36cAAOSwsXFfE5V-/$_2.JPG
